ObjectID,RA,Dec,u,g,r,i,z
582093483279581263 ,179.88431, -0.28125, 22.55, 19.73, 18.19, 17.15, 16.56
582093483279581296 ,179.94806 ,-0.2724, 22.15,	19.55, 18.11, 17.28, 16.87
582093482742710367 ,179.97106, -0.82002, 21.73, 19.65, 18.81, 18.47, 18.26
582093499934703623 ,179.8339, -0.55558, 19.34,	18.40, 18.19, 18.12, 18.13
582093499934703856 ,179.89941, -0.61227, 20.72, 19.02, 18.34, 18.12, 17.96
582093499934703933 ,179.97446, -0.55081, 22.42, 19.77, 18.53, 18.05, 17.73
582093499934703813 ,179.85499, -0.4708,  23.40, 20.22, 18.86, 18.11, 17.66
582093499934703876 ,179.91213, -0.50101, 22.42, 19.85, 18.39, 17.73, 17.34
582093499934703941 ,179.97887, -0.57861, 22.61, 20.45, 18.97, 18.17, 17.72
582093483279515723 ,179.789, -0.29908, 21.29,	19.14, 18.16, 17.77, 17.60
582093499934834837 ,180.20067, -0.57081, 21.53, 19.45, 18.56, 18.23, 18.03
582093483279646824 ,180.10892, -0.34719, 20.27, 19.16, 18.68, 18.49, 18.39
582093482742775943 ,180.11286, -0.77366, 23.31,	20.11, 18.92, 18.38, 18.03
582093482742775905 ,180.10103, -0.64383, 19.99, 18.76, 18.34, 18.20, 18.22
582093482742710369 ,179.97602, -0.66007, 20.57, 18.98, 18.39, 18.20, 18.08
582093499934834834 ,180.19612, -0.47336, 22.14, 20.03, 18.92, 18.48, 18.17
582093482742775953, 180.16034, -0.72755, 22.34, 19.81, 18.65, 18.17, 17.89
